Facility,Size_Category,Beds_Total,Hospital_Cost
Aigle Pôle Physio-Ergo d'Aigle,Small,21,68250
Biotonus,Small,30,97500
CIC,Small,35,113750
Centre Hospitalier Universitaire Vaudois,Major Center,1175,5170000
Chamoyron,Small,4,13000
Château-d'Oex,Small,4,13000
Clinique Bois-Bougy,Moderate,84,176400
Clinique Bois-Cerf,Moderate,68,142800
Clinique Cecil,Moderate,86,180600
Clinique La Prairie,Small,34,110500
Clinique Valmont,Moderate,59,123900
Clinique de Genolier,Moderate,112,235200
Clinique de Montchoisi,Small,29,94250
Clinique de la Source,Moderate,93,195300
Clinique la Lignière,Moderate,94,197400
Clinique la Métairie,Moderate,74,155400
Espace Santé Rennaz,Small,4,13000
Fondation Rive-Neuve,Small,20,65000
Grand-Chêne,Small,4,13000
HRC,Small,4,13000
Hôpital d'Orbe,Small,20,65000
Hôpital d'Yverdon-les-Bains,Moderate,132,277200
Hôpital de Chamblon,Moderate,53,111300
Hôpital de Gilly,Small,40,130000
Hôpital de Lavaux,Moderate,56,117600
Hôpital de Morges,Big,215,838500
Hôpital de Nyon,Moderate,120,252000
Hôpital de Rolle,Small,45,146250
Hôpital de Saint-Loup,Moderate,53,111300
Hôpital de la Vallée de Joux,Small,14,45500
Hôpital ophtalmique Jules-Gonin,Small,9,29250
Hôpital psychiatrique Nant,Small,41,133250
Hôpital d'Aubonne,Small,20,65000
Institution de Lavigny,Small,41,133250
La Tour-de-Peilz,Small,4,13000
Les Communaux,Small,4,13000
Les Moulins,Small,4,13000
Les Rosiers,Small,18,58500
Molage,Small,4,13000
Montreux,Small,4,13000
Mottex Réadaptation/gériatrie,Small,42,136500
Moudon,Moderate,105,220500
Payerne,Small,47,152750
Permanence de Cossonay,Small,38,123500
Providence Permanence médicale Riviera Réadaptation/gériatrie,Moderate,64,134400
Psychiatrie Nord CPNVD,Small,50,162500
Psychiatrie Ouest Hôpital de Prangins,Moderate,75,157500
Pôle Santé Pays-d'Enhaut,Small,13,42250
Rennaz Centre hospitalier de Rennaz,Big,254,990600
Samaritain Site administratif,Small,0,0
